tranche_id,redemption_date,kind,inr_per_gram,source_prid_or_url,tier
2019-20-III,2026-02-13,PRE,15641,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62217,T1
2020-21-VI,2026-03-07,PRE,16063,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62345,T1
2020-21-XII,2026-03-07,PRE,16063,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62345,T1
2019-20-X,2026-03-11,PRE,15920,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62360,T1
2019-20-IV,2026-03-17,PRE,15814,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62387,T1
2019-20-V,2026-04-15,PRE,15009,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62559,T1
2020-21-VII,2026-04-20,PRE,15254,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62579,T1
2018-19-II,2026-04-23,PRE,15219,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62603,T1
2020-21-I,2026-04-28,PRE,15124,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62632,T1
2019-20-VI,2026-04-30,PRE,14931,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62653,T1
2018-19-I,2026-05-04,MAT,14901,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62666,T1
2018-19-III,2026-05-13,PRE,15102,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62724,T1
2020-21-VIII,2026-05-18,PRE,16012,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62748,T1
2020-21-II,2026-05-19,PRE,15904,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62761,T1
2021-22-I,2026-05-25,PRE,15840,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62796,T1
2021-22-II,2026-06-01,PRE,15672,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62836,T1
2021-22-III,2026-06-08,PRE,15512,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62879,T1
2019-20-VII,2026-06-10,PRE,15275,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62898,T1
2019-20-I,2026-06-11,PRE,15038,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62910,T1
2020-21-III,2026-06-16,PRE,14774,https://www.rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=62937,T1
